Sales Person,Country,Product,Date,Amount,Boxes Shipped
Jan Morforth,Canada,After Nines,28-Mar-22,"$6,181 ",72
Barr Faughny,New Zealand,Eclairs,9-Aug-22,"$7,238 ",420
Jehu Rudeforth,Canada,Choco Coated Almonds,7-Jun-22,"$3,843 ",421
Barr Faughny,Australia,White Choc,12-Jul-22,"$14,658 ",420
Van Tuxwell,New Zealand,Baker's Choco Chips,20-Jul-22,"$5,978 ",282
Brien Boise,Australia,Eclairs,28-Jan-22,"$2,926 ",201
Andria Kimpton,USA,99% Dark & Pure,11-Apr-22,"$1,540 ",218
Rafaelita Blaksland,Australia,Fruit & Nut Bars,28-Feb-22,"$9,282 ",260
Andria Kimpton,Australia,Orange Choco,3-Jun-22,"$10,255 ",262
Dennison Crosswaite,New Zealand,Spicy Special Slims,17-Mar-22,"$4,900 ",3
Van Tuxwell,New Zealand,50% Dark Bites,27-Apr-22,"$3,374 ",23
Camilla Castle,New Zealand,Mint Chip Choco,8-Apr-22,"$6,587 ",403
Wilone O'Kielt,Canada,Eclairs,20-May-22,"$1,533 ",157
Rafaelita Blaksland,New Zealand,Fruit & Nut Bars,4-Apr-22,"$2,093 ",197
Gunar Cockshoot,Australia,Mint Chip Choco,22-Mar-22,"$14,504 ",127
Madelene Upcott,Australia,Organic Choco Syrup,9-Feb-22,"$6,307 ",277
Kelci Walkden,Australia,After Nines,25-May-22,"$2,996 ",307
Jan Morforth,UK,Manuka Honey Choco,10-Jan-22,"$8,722 ",104
Curtice Advani,India,Baker's Choco Chips,24-Jun-22,"$13,930 ",371
Mallorie Waber,Canada,Eclairs,22-Feb-22,"$5,376 ",65
Husein Augar,Canada,Drinking Coco,9-Aug-22,"$3,374 ",224
Barr Faughny,Canada,Spicy Special Slims,21-Mar-22,"$5,292 ",112
Andria Kimpton,India,50% Dark Bites,14-Jan-22,$630 ,313
Brien Boise,Canada,Organic Choco Syrup,7-Jan-22,"$3,122 ",315
Wilone O'Kielt,Australia,Drinking Coco,24-Aug-22,"$2,303 ",105
Rafaelita Blaksland,India,50% Dark Bites,20-Jun-22,"$14,980 ",130
Dennison Crosswaite,India,Almond Choco,17-Aug-22,"$19,929 ",268
Oby Sorrel,UK,Almond Choco,15-Jun-22,"$1,428 ",107
Karlen McCaffrey,New Zealand,Orange Choco,21-Apr-22,"$5,131 ",89
Jehu Rudeforth,Canada,Caramel Stuffed Bars,25-Feb-22,"$2,786 ",418
Mallorie Waber,USA,Almond Choco,22-Jul-22,"$7,175 ",91
Andria Kimpton,Canada,Orange Choco,13-Jan-22,"$6,881 ",234
Mallorie Waber,Australia,Raspberry Choco,13-May-22,"$2,961 ",348
Husein Augar,Canada,After Nines,14-Mar-22,"$5,768 ",155
Mallorie Waber,Australia,Manuka Honey Choco,25-Jan-22,$301 ,50
Husein Augar,UK,Mint Chip Choco,30-Mar-22,"$4,865 ",115
Roddy Speechley,Canada,Milk Bars,4-May-22,"$1,155 ",92
Dennison Crosswaite,UK,Organic Choco Syrup,27-Jun-22,"$2,408 ",296
Kaine Padly,India,Manuka Honey Choco,18-Jan-22,"$8,512 ",134
Curtice Advani,New Zealand,Organic Choco Syrup,15-Jun-22,$637 ,261
Marney O'Breen,New Zealand,Caramel Stuffed Bars,18-Feb-22,"$3,654 ",150
Mallorie Waber,USA,Organic Choco Syrup,24-Jan-22,"$5,705 ",209
Jan Morforth,UK,Raspberry Choco,25-Mar-22,"$2,800 ",177
Gigi Bohling,New Zealand,Raspberry Choco,19-Jul-22,"$3,402 ",114
Husein Augar,India,Manuka Honey Choco,19-Jan-22,"$8,029 ",320
Van Tuxwell,New Zealand,85% Dark Bars,28-Apr-22,"$3,080 ",351
Oby Sorrel,USA,Raspberry Choco,8-Jul-22,"$8,267 ",308
Beverie Moffet,Canada,99% Dark & Pure,15-Apr-22,"$8,148 ",482
Karlen McCaffrey,USA,After Nines,31-May-22,"$10,241 ",273
Dotty Strutley,New Zealand,White Choc,10-Mar-22,"$10,927 ",12
Wilone O'Kielt,Australia,Almond Choco,29-Apr-22,"$7,091 ",464
Kaine Padly,India,50% Dark Bites,25-Apr-22,"$15,547 ",130
Van Tuxwell,Australia,Baker's Choco Chips,25-Mar-22,"$4,641 ",268
Andria Kimpton,USA,Eclairs,1-Jun-22,"$10,822 ",418
Camilla Castle,India,Eclairs,27-Jan-22,"$12,425 ",54
Rafaelita Blaksland,Australia,Drinking Coco,17-Feb-22,"$6,818 ",217
Oby Sorrel,India,Choco Coated Almonds,7-Mar-22,"$8,379 ",92
Dotty Strutley,UK,Choco Coated Almonds,22-Mar-22,"$1,302 ",150
Beverie Moffet,UK,70% Dark Bites,3-Jan-22,"$4,627 ",75
Kelci Walkden,UK,99% Dark & Pure,21-Apr-22,"$4,263 ",250
Wilone O'Kielt,UK,Fruit & Nut Bars,6-Jun-22,"$11,662 ",258
Beverie Moffet,USA,Choco Coated Almonds,5-Jan-22,"$1,064 ",6
Kaine Padly,New Zealand,Almond Choco,28-Jun-22,"$3,703 ",56
Dennison Crosswaite,Australia,Spicy Special Slims,13-Jan-22,"$2,331 ",241
Kaine Padly,Australia,Spicy Special Slims,14-Jun-22,"$2,345 ",224
Roddy Speechley,New Zealand,Milk Bars,1-Mar-22,"$10,325 ",258
Mallorie Waber,UK,Peanut Butter Cubes,19-Apr-22,"$12,586 ",215
Gunar Cockshoot,New Zealand,85% Dark Bars,15-Aug-22,"$2,821 ",293
Jehu Rudeforth,Australia,Peanut Butter Cubes,29-Jul-22,"$3,073 ",392
Gigi Bohling,Australia,Drinking Coco,19-May-22,"$9,275 ",282
Jan Morforth,USA,Milk Bars,18-Jan-22,"$4,676 ",50
Ches Bonnell,USA,Manuka Honey Choco,5-May-22,"$6,615 ",44
Beverie Moffet,Canada,Mint Chip Choco,24-Feb-22,"$10,031 ",84
Camilla Castle,New Zealand,Mint Chip Choco,26-Jan-22,$952 ,26
Gunar Cockshoot,Canada,Peanut Butter Cubes,22-Jul-22,"$1,848 ",15
Kaine Padly,USA,Organic Choco Syrup,13-Jun-22,"$11,781 ",133
Dennison Crosswaite,New Zealand,Spicy Special Slims,26-May-22,"$3,171 ",34
Mallorie Waber,Australia,Milk Bars,25-May-22,"$16,702 ",27
Karlen McCaffrey,UK,Caramel Stuffed Bars,15-Apr-22,"$2,268 ",18
Oby Sorrel,Australia,Drinking Coco,6-May-22,"$2,751 ",350
Wilone O'Kielt,Canada,50% Dark Bites,17-Feb-22,"$2,919 ",55
Kaine Padly,New Zealand,Manuka Honey Choco,14-Jul-22,"$6,328 ",242
Jehu Rudeforth,India,Spicy Special Slims,20-Jan-22,"$18,032 ",16
Oby Sorrel,New Zealand,Spicy Special Slims,12-Aug-22,"$4,284 ",284
Jehu Rudeforth,UK,Fruit & Nut Bars,19-Aug-22,"$7,882 ",468
Madelene Upcott,Australia,After Nines,30-May-22,"$3,087 ",261
Gigi Bohling,India,Eclairs,12-Apr-22,"$13,503 ",6
Dennison Crosswaite,Australia,Drinking Coco,5-Jan-22,"$9,324 ",189
Marney O'Breen,India,Eclairs,27-Jul-22,"$12,726 ",294
Curtice Advani,USA,70% Dark Bites,26-Apr-22,"$10,794 ",547
Van Tuxwell,USA,Drinking Coco,23-Feb-22,"$8,043 ",40
Andria Kimpton,Australia,Drinking Coco,19-Jul-22,"$9,870 ",139
Ches Bonnell,New Zealand,50% Dark Bites,19-Jan-22,"$11,788 ",256
Husein Augar,UK,Caramel Stuffed Bars,3-Jan-22,"$1,617 ",543
Barr Faughny,USA,Mint Chip Choco,17-Aug-22,"$3,906 ",413
Curtice Advani,India,Peanut Butter Cubes,13-Jul-22,"$6,496 ",316
Rafaelita Blaksland,UK,70% Dark Bites,11-Jul-22,"$6,055 ",226
Brien Boise,Australia,Raspberry Choco,10-Mar-22,"$5,579 ",173
Dennison Crosswaite,USA,Raspberry Choco,21-Jun-22,"$8,575 ",141
Jehu Rudeforth,UK,Raspberry Choco,22-Feb-22,"$3,297 ",216
Van Tuxwell,UK,Mint Chip Choco,30-Aug-22,$105 ,160
Jehu Rudeforth,USA,Manuka Honey Choco,19-May-22,"$3,703 ",244
Husein Augar,Australia,Milk Bars,19-Jul-22,"$10,976 ",191
Karlen McCaffrey,India,85% Dark Bars,28-Feb-22,"$7,714 ",47
Dotty Strutley,India,Choco Coated Almonds,23-Aug-22,"$9,989 ",92
Kelci Walkden,Canada,Mint Chip Choco,31-May-22,"$5,810 ",214
Barr Faughny,New Zealand,Caramel Stuffed Bars,10-May-22,"$1,218 ",197
Andria Kimpton,USA,Milk Bars,12-Jan-22,"$5,376 ",356
Barr Faughny,New Zealand,Raspberry Choco,28-Jul-22,"$2,303 ",185
Karlen McCaffrey,USA,Drinking Coco,25-Aug-22,"$10,815 ",20
Wilone O'Kielt,UK,50% Dark Bites,1-Feb-22,"$13,503 ",411
Dennison Crosswaite,UK,After Nines,10-Aug-22,"$1,792 ",410
Brien Boise,UK,Fruit & Nut Bars,3-May-22,"$6,454 ",168
Wilone O'Kielt,USA,Raspberry Choco,26-May-22,"$1,225 ",236
Wilone O'Kielt,Australia,Peanut Butter Cubes,16-Jun-22,"$2,807 ",233
Rafaelita Blaksland,Australia,50% Dark Bites,21-Apr-22,"$3,178 ",264
Ches Bonnell,New Zealand,After Nines,9-Feb-22,"$2,912 ",434
Karlen McCaffrey,New Zealand,Drinking Coco,1-Jul-22,"$15,547 ",2
Kaine Padly,India,99% Dark & Pure,31-May-22,"$1,575 ",271
Mallorie Waber,Australia,Milk Bars,23-Aug-22,"$6,454 ",92
Van Tuxwell,Australia,Milk Bars,25-Jul-22,"$14,749 ",178
Husein Augar,USA,Raspberry Choco,18-Aug-22,$581 ,156
Kelci Walkden,New Zealand,Fruit & Nut Bars,22-Aug-22,"$7,609 ",178
Kelci Walkden,UK,Peanut Butter Cubes,2-May-22,"$9,506 ",103
Rafaelita Blaksland,Australia,50% Dark Bites,30-May-22,"$8,491 ",167
Jan Morforth,USA,Milk Bars,14-Jan-22,"$9,534 ",195
Curtice Advani,New Zealand,White Choc,12-May-22,"$11,956 ",71
Ches Bonnell,UK,Spicy Special Slims,8-Jul-22,"$15,652 ",270
Karlen McCaffrey,Canada,99% Dark & Pure,13-Apr-22,"$2,898 ",468
Kelci Walkden,Canada,Smooth Sliky Salty,25-Jul-22,"$3,948 ",95
Karlen McCaffrey,New Zealand,Spicy Special Slims,11-Jul-22,"$5,768 ",581
Roddy Speechley,Canada,85% Dark Bars,18-Apr-22,"$4,053 ",269
Van Tuxwell,New Zealand,Baker's Choco Chips,19-Jul-22,"$5,180 ",14
Andria Kimpton,India,Eclairs,29-Apr-22,"$8,197 ",418
Gunar Cockshoot,Canada,Fruit & Nut Bars,1-Jul-22,"$3,612 ",317
Dotty Strutley,India,White Choc,5-Aug-22,"$12,250 ",306
Barr Faughny,Australia,Spicy Special Slims,12-Jan-22,"$5,481 ",358
Gigi Bohling,USA,Almond Choco,9-May-22,"$3,906 ",15
Jehu Rudeforth,USA,Smooth Sliky Salty,26-Jan-22,"$13,503 ",282
Oby Sorrel,Australia,Mint Chip Choco,13-Jun-22,"$3,381 ",5
Roddy Speechley,USA,Spicy Special Slims,31-Jan-22,"$8,099 ",199
Brien Boise,USA,Organic Choco Syrup,4-Apr-22,"$7,133 ",34
Jan Morforth,India,Choco Coated Almonds,14-Mar-22,$371 ,302
Van Tuxwell,USA,50% Dark Bites,3-Jan-22,"$10,213 ",467
Mallorie Waber,New Zealand,99% Dark & Pure,15-Jun-22,$651 ,57
Roddy Speechley,Canada,Raspberry Choco,2-Jun-22,$70 ,163
Dennison Crosswaite,India,White Choc,25-Jan-22,"$9,989 ",105
Husein Augar,Canada,Orange Choco,24-Jan-22,"$2,688 ",361
Camilla Castle,New Zealand,70% Dark Bites,11-Aug-22,"$2,275 ",234
Kaine Padly,India,Baker's Choco Chips,31-Aug-22,"$4,879 ",407
Gunar Cockshoot,New Zealand,70% Dark Bites,24-Aug-22,"$1,351 ",261
Karlen McCaffrey,UK,Eclairs,28-Feb-22,"$3,269 ",63
Rafaelita Blaksland,UK,Peanut Butter Cubes,11-May-22,"$4,914 ",387
Dotty Strutley,Canada,Fruit & Nut Bars,28-Jul-22,$49 ,60
Kelci Walkden,UK,Choco Coated Almonds,17-May-22,"$3,528 ",418
Marney O'Breen,India,Choco Coated Almonds,27-May-22,"$2,478 ",98
Rafaelita Blaksland,USA,Baker's Choco Chips,2-May-22,"$8,225 ",156
Roddy Speechley,USA,Caramel Stuffed Bars,13-May-22,"$7,952 ",198
Mallorie Waber,USA,85% Dark Bars,1-Jun-22,"$8,001 ",333
Ches Bonnell,New Zealand,Smooth Sliky Salty,5-May-22,"$4,956 ",62
Ches Bonnell,UK,Peanut Butter Cubes,25-Jan-22,"$6,440 ",597
Brien Boise,USA,Organic Choco Syrup,26-Apr-22,"$1,127 ",121
Husein Augar,Australia,Manuka Honey Choco,25-Feb-22,"$5,964 ",48
Gunar Cockshoot,USA,99% Dark & Pure,21-Jun-22,"$1,526 ",64
Brien Boise,New Zealand,50% Dark Bites,31-Mar-22,"$8,673 ",281
Dennison Crosswaite,India,Raspberry Choco,13-Jul-22,"$12,481 ",90
Barr Faughny,Australia,Spicy Special Slims,24-Jun-22,"$4,606 ",22
Andria Kimpton,Canada,Organic Choco Syrup,17-Mar-22,"$7,287 ",148
Madelene Upcott,Australia,85% Dark Bars,31-May-22,$28 ,33
Oby Sorrel,Australia,After Nines,11-Feb-22,"$6,657 ",302
Camilla Castle,Australia,Eclairs,13-May-22,"$7,714 ",132
Brien Boise,UK,Spicy Special Slims,29-Jul-22,"$13,356 ",142
Jehu Rudeforth,UK,50% Dark Bites,26-Apr-22,"$5,859 ",468
Wilone O'Kielt,UK,Baker's Choco Chips,23-Aug-22,"$7,434 ",301
Curtice Advani,USA,70% Dark Bites,14-Jul-22,"$7,910 ",75
Van Tuxwell,Australia,After Nines,22-Apr-22,"$8,337 ",708
Beverie Moffet,Australia,Raspberry Choco,21-Jan-22,"$4,361 ",33
Camilla Castle,Australia,99% Dark & Pure,10-Feb-22,"$3,528 ",183
Van Tuxwell,Canada,50% Dark Bites,16-Aug-22,"$2,303 ",418
Karlen McCaffrey,UK,Baker's Choco Chips,18-Jul-22,"$11,956 ",268
Camilla Castle,New Zealand,Smooth Sliky Salty,29-Mar-22,"$5,229 ",214
Camilla Castle,Australia,Fruit & Nut Bars,1-Jun-22,"$13,125 ",194
Curtice Advani,Australia,After Nines,12-Aug-22,"$4,746 ",117
Karlen McCaffrey,UK,Milk Bars,15-Mar-22,"$10,325 ",520
Van Tuxwell,UK,After Nines,21-Jul-22,"$2,744 ",30
Madelene Upcott,Australia,After Nines,23-Feb-22,"$6,069 ",249
Husein Augar,Canada,Fruit & Nut Bars,30-May-22,"$4,599 ",29
Rafaelita Blaksland,USA,Mint Chip Choco,24-Aug-22,"$4,746 ",49
Rafaelita Blaksland,Canada,Orange Choco,15-Aug-22,"$5,299 ",457
Barr Faughny,Australia,99% Dark & Pure,30-Aug-22,"$1,428 ",464
Husein Augar,Australia,Mint Chip Choco,24-May-22,"$5,663 ",215
Beverie Moffet,Australia,Spicy Special Slims,4-Jul-22,$483 ,34
Karlen McCaffrey,Australia,Raspberry Choco,31-Jan-22,"$7,756 ",235
Ches Bonnell,USA,Organic Choco Syrup,11-Jan-22,"$4,270 ",204
Oby Sorrel,India,70% Dark Bites,30-May-22,$455 ,591
Karlen McCaffrey,Canada,After Nines,25-Feb-22,"$4,403 ",96
Ches Bonnell,India,Fruit & Nut Bars,11-Feb-22,$700 ,348
Marney O'Breen,Canada,70% Dark Bites,17-May-22,"$6,048 ",249
Andria Kimpton,New Zealand,After Nines,3-Jun-22,"$2,835 ",188
Jan Morforth,Australia,Organic Choco Syrup,10-May-22,"$8,687 ",157
Brien Boise,Canada,Spicy Special Slims,13-Jun-22,"$3,556 ",13
Beverie Moffet,Australia,Drinking Coco,24-Aug-22,"$2,170 ",141
Curtice Advani,UK,Almond Choco,2-Aug-22,"$5,887 ",338
Gigi Bohling,Canada,50% Dark Bites,1-Jul-22,"$5,908 ",76
Barr Faughny,Canada,Smooth Sliky Salty,9-Feb-22,"$4,466 ",6
Van Tuxwell,UK,Mint Chip Choco,25-Jan-22,"$3,143 ",276
Jehu Rudeforth,Canada,Fruit & Nut Bars,21-Jun-22,"$6,594 ",84
Curtice Advani,India,50% Dark Bites,14-Mar-22,"$6,440 ",709
Oby Sorrel,India,99% Dark & Pure,7-Jun-22,"$2,345 ",30
Gunar Cockshoot,India,Drinking Coco,16-May-22,"$6,069 ",281
Roddy Speechley,New Zealand,Mint Chip Choco,28-Jun-22,"$8,512 ",83
Barr Faughny,Canada,Mint Chip Choco,27-Jul-22,"$3,507 ",419
Madelene Upcott,New Zealand,99% Dark & Pure,25-Jan-22,"$7,140 ",48
Gunar Cockshoot,UK,White Choc,2-Aug-22,"$2,485 ",581
Roddy Speechley,USA,Almond Choco,21-Jul-22,"$3,136 ",7
Husein Augar,Canada,Baker's Choco Chips,16-Jun-22,"$14,147 ",85
Kaine Padly,Australia,Almond Choco,22-Feb-22,"$1,876 ",39
Camilla Castle,India,Orange Choco,28-Jan-22,"$2,156 ",190
Gunar Cockshoot,USA,Mint Chip Choco,15-Apr-22,"$9,107 ",320
Gigi Bohling,Canada,99% Dark & Pure,8-Mar-22,"$16,380 ",16
Curtice Advani,New Zealand,White Choc,24-Feb-22,"$4,256 ",268
Brien Boise,New Zealand,Milk Bars,14-Feb-22,"$10,906 ",64
Ches Bonnell,Australia,50% Dark Bites,8-Jul-22,"$1,897 ",120
Brien Boise,Canada,50% Dark Bites,3-May-22,"$3,619 ",430
Barr Faughny,India,Caramel Stuffed Bars,1-Apr-22,"$2,093 ",447
Andria Kimpton,USA,Baker's Choco Chips,28-Apr-22,"$5,061 ",171
Dotty Strutley,USA,70% Dark Bites,1-Aug-22,"$8,491 ",309
Oby Sorrel,Canada,Spicy Special Slims,3-Aug-22,"$10,332 ",140
Rafaelita Blaksland,USA,Orange Choco,13-May-22,"$7,490 ",307
Van Tuxwell,New Zealand,Baker's Choco Chips,28-Jul-22,$602 ,22
Kaine Padly,India,Milk Bars,17-May-22,"$16,380 ",239
Barr Faughny,USA,Raspberry Choco,22-Aug-22,"$5,796 ",301
Beverie Moffet,Australia,Milk Bars,20-May-22,"$7,672 ",614
Marney O'Breen,Canada,White Choc,11-Apr-22,"$3,325 ",709
Jehu Rudeforth,USA,Fruit & Nut Bars,17-Jun-22,"$14,798 ",314
Karlen McCaffrey,USA,After Nines,17-Aug-22,"$3,780 ",84
Brien Boise,Canada,Spicy Special Slims,19-May-22,$889 ,127
Roddy Speechley,India,Mint Chip Choco,9-Mar-22,"$4,599 ",482
Andria Kimpton,USA,White Choc,21-Jun-22,"$3,584 ",76
Curtice Advani,UK,Almond Choco,23-Aug-22,"$3,052 ",57
Madelene Upcott,USA,Caramel Stuffed Bars,12-Apr-22,"$2,758 ",319
Camilla Castle,India,Eclairs,8-Jun-22,"$9,275 ",269
Andria Kimpton,India,50% Dark Bites,8-Aug-22,"$1,512 ",94
Marney O'Breen,Canada,85% Dark Bars,15-Feb-22,"$12,635 ",109
Brien Boise,Australia,Choco Coated Almonds,28-Jun-22,$630 ,122
Curtice Advani,Canada,99% Dark & Pure,5-Apr-22,"$4,102 ",614
Gigi Bohling,India,Milk Bars,14-Jul-22,$574 ,247
Curtice Advani,USA,85% Dark Bars,17-Feb-22,"$13,482 ",229
Mallorie Waber,Canada,Choco Coated Almonds,11-Feb-22,"$2,296 ",358
Rafaelita Blaksland,Canada,85% Dark Bars,31-Mar-22,"$3,087 ",82
Madelene Upcott,UK,Almond Choco,4-Mar-22,"$1,470 ",227
Jan Morforth,India,Caramel Stuffed Bars,22-Jun-22,"$2,331 ",239
Marney O'Breen,UK,White Choc,14-Apr-22,"$9,737 ",102
Barr Faughny,Australia,Orange Choco,23-Aug-22,"$5,796 ",199
Curtice Advani,India,Spicy Special Slims,18-Apr-22,$420 ,88
Kaine Padly,Canada,Organic Choco Syrup,1-Jul-22,"$3,395 ",19
Andria Kimpton,India,Raspberry Choco,27-May-22,"$9,324 ",250
Jehu Rudeforth,Canada,Mint Chip Choco,23-Feb-22,"$6,811 ",261
Kaine Padly,New Zealand,Eclairs,19-Jan-22,"$3,164 ",29
Husein Augar,New Zealand,Orange Choco,13-Jun-22,"$4,935 ",309
Camilla Castle,Australia,Peanut Butter Cubes,13-May-22,"$3,836 ",87
Gunar Cockshoot,India,99% Dark & Pure,17-Jun-22,"$19,481 ",280
Ches Bonnell,UK,Milk Bars,18-Mar-22,"$7,910 ",446
Dotty Strutley,India,99% Dark & Pure,23-Feb-22,"$2,961 ",14
Camilla Castle,India,White Choc,3-Jun-22,"$8,379 ",67
Mallorie Waber,Canada,Caramel Stuffed Bars,18-Jul-22,"$8,400 ",8
Andria Kimpton,UK,Smooth Sliky Salty,24-Mar-22,$910 ,199
Gigi Bohling,USA,99% Dark & Pure,6-Jul-22,"$5,334 ",356
Camilla Castle,Australia,Spicy Special Slims,23-May-22,"$5,908 ",169
Karlen McCaffrey,USA,99% Dark & Pure,9-Feb-22,"$7,910 ",304
Karlen McCaffrey,Australia,Milk Bars,14-Jan-22,"$7,483 ",158
Dotty Strutley,New Zealand,85% Dark Bars,15-Apr-22,"$8,043 ",103
Madelene Upcott,UK,Orange Choco,11-May-22,"$4,109 ",52
Oby Sorrel,Australia,Almond Choco,4-Apr-22,"$4,746 ",363
Gigi Bohling,USA,Fruit & Nut Bars,13-May-22,"$6,272 ",182
Beverie Moffet,India,White Choc,13-Jan-22,"$6,020 ",114
Camilla Castle,USA,Smooth Sliky Salty,1-Jul-22,"$3,479 ",20
Wilone O'Kielt,New Zealand,White Choc,9-Mar-22,"$3,724 ",482
Karlen McCaffrey,Canada,85% Dark Bars,10-Feb-22,"$10,815 ",252
Jan Morforth,USA,Fruit & Nut Bars,2-May-22,"$4,109 ",322
Jan Morforth,USA,Baker's Choco Chips,31-Jan-22,"$2,611 ",86
Gunar Cockshoot,New Zealand,Smooth Sliky Salty,3-May-22,"$2,450 ",403
Jehu Rudeforth,UK,Almond Choco,25-Apr-22,"$3,577 ",293
Oby Sorrel,UK,Drinking Coco,8-Jul-22,"$14,525 ",524
Dotty Strutley,Australia,Fruit & Nut Bars,17-May-22,"$15,316 ",145
Beverie Moffet,UK,Peanut Butter Cubes,5-Aug-22,"$9,268 ",421
Van Tuxwell,India,70% Dark Bites,30-Jun-22,"$2,086 ",293
Karlen McCaffrey,Australia,Fruit & Nut Bars,22-Jun-22,"$4,844 ",233
Rafaelita Blaksland,New Zealand,Milk Bars,29-Jul-22,"$2,597 ",31
Barr Faughny,USA,White Choc,24-Aug-22,"$5,425 ",116
Beverie Moffet,Australia,Almond Choco,14-Jan-22,"$8,183 ",361
Oby Sorrel,Canada,Almond Choco,1-Jul-22,"$5,313 ",310
Curtice Advani,UK,Almond Choco,23-Feb-22,"$6,944 ",196
Oby Sorrel,New Zealand,50% Dark Bites,23-May-22,"$5,978 ",126
Curtice Advani,India,Spicy Special Slims,29-Apr-22,$721 ,122
Jehu Rudeforth,UK,Organic Choco Syrup,29-Apr-22,$112 ,260
Dotty Strutley,India,Choco Coated Almonds,7-Jan-22,"$10,927 ",4
Marney O'Breen,India,Fruit & Nut Bars,18-May-22,"$4,067 ",108
Dotty Strutley,Canada,Eclairs,1-Apr-22,"$8,428 ",105
Kaine Padly,UK,Smooth Sliky Salty,24-May-22,"$10,815 ",469
Camilla Castle,Canada,99% Dark & Pure,27-May-22,"$10,815 ",350
Rafaelita Blaksland,New Zealand,99% Dark & Pure,26-Jan-22,"$2,499 ",392
Mallorie Waber,India,Drinking Coco,30-May-22,"$5,894 ",99
Dotty Strutley,New Zealand,Organic Choco Syrup,22-Apr-22,"$3,822 ",59
Madelene Upcott,UK,85% Dark Bars,16-May-22,"$1,715 ",309
Roddy Speechley,India,Manuka Honey Choco,19-Apr-22,"$1,897 ",591
Van Tuxwell,New Zealand,70% Dark Bites,13-Jan-22,"$4,067 ",155
Kelci Walkden,UK,50% Dark Bites,5-Jul-22,"$3,171 ",241
Gigi Bohling,India,White Choc,5-Jul-22,"$8,491 ",417
Kelci Walkden,Australia,50% Dark Bites,29-Jul-22,"$1,414 ",438
Gigi Bohling,Australia,Smooth Sliky Salty,12-May-22,"$6,111 ",129
Gigi Bohling,New Zealand,Smooth Sliky Salty,15-Jul-22,"$8,575 ",130
Kelci Walkden,Australia,Almond Choco,24-Jan-22,"$8,589 ",299
Brien Boise,UK,Choco Coated Almonds,30-Mar-22,"$4,858 ",401
Brien Boise,India,Spicy Special Slims,16-May-22,"$18,340 ",495
Husein Augar,USA,White Choc,2-May-22,"$11,200 ",195
Dotty Strutley,UK,Raspberry Choco,1-Feb-22,"$3,724 ",83
Karlen McCaffrey,UK,Choco Coated Almonds,20-Apr-22,"$1,946 ",90
Roddy Speechley,New Zealand,Almond Choco,28-Jun-22,"$10,633 ",232
Kaine Padly,Australia,Mint Chip Choco,3-May-22,"$7,182 ",50
Barr Faughny,New Zealand,Eclairs,10-Mar-22,"$6,762 ",19
Van Tuxwell,New Zealand,Almond Choco,30-Mar-22,"$4,606 ",301
Brien Boise,USA,White Choc,21-Feb-22,"$4,865 ",265
Camilla Castle,UK,99% Dark & Pure,30-Aug-22,"$7,133 ",54
Camilla Castle,New Zealand,Peanut Butter Cubes,11-Feb-22,"$14,301 ",344
Van Tuxwell,India,85% Dark Bars,21-Jun-22,"$14,147 ",305
Wilone O'Kielt,USA,Organic Choco Syrup,9-Jun-22,"$11,788 ",336
Husein Augar,Australia,Drinking Coco,20-Jan-22,"$9,324 ",79
Marney O'Breen,USA,Milk Bars,10-Jun-22,"$9,275 ",84
Jehu Rudeforth,New Zealand,Drinking Coco,14-Feb-22,"$15,057 ",174
Mallorie Waber,Canada,Eclairs,7-Feb-22,"$9,716 ",144
Gigi Bohling,USA,Drinking Coco,3-Jun-22,"$8,463 ",353
Curtice Advani,USA,50% Dark Bites,4-May-22,"$2,674 ",19
Rafaelita Blaksland,Australia,Smooth Sliky Salty,13-Jun-22,"$12,187 ",40
Husein Augar,USA,99% Dark & Pure,11-Jul-22,"$1,645 ",37
Roddy Speechley,USA,Choco Coated Almonds,29-Jul-22,"$10,829 ",271
Camilla Castle,UK,Peanut Butter Cubes,9-Jun-22,"$9,436 ",433
Oby Sorrel,UK,Mint Chip Choco,16-Feb-22,"$4,291 ",117
Karlen McCaffrey,Canada,Almond Choco,21-Apr-22,"$10,038 ",57
Oby Sorrel,Canada,White Choc,23-May-22,"$8,939 ",178
Oby Sorrel,Canada,Baker's Choco Chips,18-Aug-22,"$10,794 ",183
Oby Sorrel,UK,Almond Choco,6-May-22,"$9,275 ",241
Karlen McCaffrey,Canada,Milk Bars,5-Aug-22,"$6,524 ",47
Gigi Bohling,Australia,Peanut Butter Cubes,17-Jan-22,"$10,500 ",66
Gigi Bohling,Canada,Choco Coated Almonds,30-Mar-22,"$1,162 ",99
Madelene Upcott,New Zealand,Spicy Special Slims,15-Apr-22,"$7,623 ",74
Madelene Upcott,India,Baker's Choco Chips,25-Apr-22,"$4,018 ",457
Gigi Bohling,Australia,85% Dark Bars,10-Jan-22,"$3,493 ",305
Karlen McCaffrey,Canada,Orange Choco,12-Apr-22,"$15,652 ",371
Karlen McCaffrey,USA,Smooth Sliky Salty,5-May-22,"$5,474 ",42
Dennison Crosswaite,Australia,Caramel Stuffed Bars,23-Jun-22,"$1,463 ",112
Madelene Upcott,New Zealand,Baker's Choco Chips,2-Jun-22,"$1,456 ",403
Oby Sorrel,India,After Nines,28-Mar-22,"$1,190 ",390
Husein Augar,UK,Eclairs,17-Jun-22,"$4,067 ",94
